Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,647.25,653.3624877929688,645.1875,648.6375122070312,509.6256408691406,489388
2015-01-02,646.75,654.75,646.75,651.8125,512.1202392578125,1025204
2015-01-05,650.0,654.9249877929688,638.75,640.9375,503.5759582519531,770804
2015-01-06,638.7625122070312,642.25,628.8375244140625,634.0625,498.17431640625,1959932
2015-01-07,636.25,643.7000122070312,628.2999877929688,631.0999755859375,495.84661865234375,1331532
2015-01-08,632.0,644.9749755859375,632.0,641.6624755859375,504.1455383300781,1760940
2015-01-09,642.0,672.4749755859375,642.0,670.0875244140625,526.4786987304688,3004040
2015-01-12,674.25,689.75,671.25,688.5,540.945068359375,3457052
2015-01-13,691.0,693.0499877929688,683.75,690.2750244140625,542.3397827148438,3020512
2015-01-14,691.0,698.9874877929688,687.875,697.8875122070312,548.32080078125,1642216
2015-01-15,699.2625122070312,700.0,691.7750244140625,695.4500122070312,546.4056396484375,2348088
2015-01-16,696.25,704.9874877929688,692.6500244140625,704.2374877929688,553.3098754882812,3840948
2015-01-19,703.75,705.0,695.7750244140625,700.0625,550.0296020507812,1066204
2015-01-20,698.7625122070312,704.9874877929688,698.7625122070312,700.4500122070312,550.3341674804688,1248036
2015-01-21,700.25,703.9749755859375,696.9500122070312,699.125,549.2930297851562,2102312
2015-01-22,699.1749877929688,701.25,687.25,689.5250244140625,541.7504272460938,2468964
2015-01-23,692.7125244140625,701.0,690.0,695.1875,546.199462890625,1997508
2015-01-27,694.9625244140625,704.9749755859375,690.125,704.1624755859375,553.2509155273438,1976488
2015-01-28,701.5750122070312,721.25,701.5750122070312,718.3375244140625,564.3881225585938,2378628
2015-01-29,719.5,732.5,718.75,726.0999755859375,570.487060546875,3780160
2015-01-30,732.75,747.875,709.2874755859375,717.125,563.4354248046875,4703872
2015-02-02,743.0,748.7750244140625,718.0374755859375,723.7625122070312,568.6503295898438,7806000
2015-02-03,729.75,731.25,717.5,729.7874755859375,573.3840942382812,2436904
2015-02-04,731.25,731.25,710.0250244140625,713.0625,560.243408203125,1751448
2015-02-05,712.7750244140625,725.2374877929688,711.25,716.9375,563.2880859375,1602784
2015-02-06,717.5,730.2374877929688,712.4874877929688,715.0875244140625,561.8346557617188,1711276
2015-02-09,710.0,718.5,702.7750244140625,705.1124877929688,553.9971923828125,1355964
2015-02-10,701.25,701.6500244140625,687.125,690.625,542.6146850585938,2848392
2015-02-11,692.5,714.5,692.4625244140625,710.4375,558.1812133789062,2885288
2015-02-12,715.0,728.75,711.4000244140625,727.3250122070312,571.4494018554688,1398956
2015-02-13,730.0,730.5999755859375,720.5750122070312,721.6375122070312,566.9808349609375,1367488
2015-02-16,723.75,736.9874877929688,722.9375,724.8875122070312,569.5343017578125,1739352
2015-02-18,719.75,728.75,714.25,723.0625,568.1004028320312,4645928
2015-02-19,725.0,725.0,706.2750244140625,707.5374755859375,555.902587890625,2996608
2015-02-20,702.5,706.5875244140625,698.5625,702.5499877929688,551.98388671875,1555608
2015-02-23,702.5,710.5,690.5750122070312,694.6875,545.8065185546875,2152512
2015-02-24,697.5125122070312,702.0125122070312,695.25,697.8250122070312,548.2715454101562,1746308
2015-02-25,701.25,702.0,688.0499877929688,690.6375122070312,542.62451171875,2624308
2015-02-26,693.7000122070312,693.7000122070312,685.0,687.0250244140625,539.7861328125,4260476
2015-02-27,688.2374877929688,712.5,685.4249877929688,708.9375,557.0026245117188,2109468
2015-03-02,719.7000122070312,723.75,712.2125244140625,715.0125122070312,561.775634765625,1640164
2015-03-03,720.5,728.4000244140625,708.7625122070312,727.125,571.2923583984375,2013832
2015-03-04,727.5,734.75,716.4000244140625,719.875,565.5960083007812,2200520
2015-03-05,720.0,728.2000122070312,712.7750244140625,719.5374755859375,565.3308715820312,1725044
2015-03-09,715.5,715.5,695.25,702.8375244140625,552.2097778320312,2569948
2015-03-10,688.3624877929688,711.5,688.3624877929688,709.9500122070312,557.798095703125,2513260
2015-03-11,710.0250244140625,735.9375,703.75,730.4124755859375,573.875244140625,5020084
2015-03-12,734.5875244140625,735.0125122070312,713.0625,714.25,561.1765747070312,4443664
2015-03-13,719.5,719.5,702.0,704.5999755859375,553.5946044921875,2839984
2015-03-16,709.5,710.1124877929688,703.75,706.9874877929688,555.4703979492188,4702048
2015-03-17,711.0,720.4500122070312,707.7249755859375,715.7249755859375,562.3353881835938,5144028
2015-03-18,718.5,720.0,697.5,700.125,550.0786743164062,15227544
2015-03-19,695.0,700.9000244140625,685.0,687.1500244140625,539.8843994140625,5621879
2015-03-20,688.9500122070312,690.0,673.0,678.2999877929688,532.9310913085938,3616042
2015-03-23,684.0,685.4500122070312,650.2000122070312,656.7999877929688,516.0388793945312,3672301
2015-03-24,661.0,667.5,652.0,659.6500244140625,518.278076171875,3793847
2015-03-25,663.0,663.0,651.0,656.3499755859375,515.6851806640625,3053431
2015-03-26,656.0,665.0,648.1500244140625,651.1500244140625,511.59979248046875,3774322
2015-03-27,654.0,661.4000244140625,639.0,645.9000244140625,507.474853515625,3223159
2015-03-30,647.9000244140625,652.75,618.6500244140625,626.9500122070312,492.58612060546875,3887546
2015-03-31,633.0999755859375,639.5999755859375,626.5,629.7000122070312,494.7467956542969,3125329
2015-04-01,630.5,638.7000122070312,629.0,632.7000122070312,497.1038513183594,4892589
2015-04-06,635.0999755859375,647.5,635.0999755859375,643.3499755859375,505.47125244140625,5050758
2015-04-07,646.3499755859375,656.0,644.9500122070312,652.8499755859375,512.9352416992188,1922672
2015-04-08,656.9500122070312,676.0,656.0,672.2999877929688,528.217041015625,3505745
2015-04-09,679.9000244140625,680.5999755859375,662.7999877929688,670.4000244140625,526.7241821289062,1882337
2015-04-10,670.7999877929688,673.4500122070312,655.0,660.2000122070312,518.7101440429688,1675314
2015-04-13,664.7000122070312,674.4000244140625,650.6500244140625,664.4000244140625,522.0101318359375,1357726
2015-04-15,664.4000244140625,671.6500244140625,656.0,659.8499755859375,518.4351806640625,3785304
2015-04-16,662.7000122070312,664.25,644.5,656.0499877929688,515.4495849609375,1850395
2015-04-17,652.0,653.0,634.1500244140625,641.0499877929688,503.66424560546875,2224178
2015-04-20,641.0,641.0,622.5,632.2999877929688,496.7895812988281,2301636
2015-04-21,624.0499877929688,644.25,622.0,637.5,500.87506103515625,1504719
2015-04-22,635.0,635.9000244140625,622.5999755859375,629.7999877929688,494.8253173828125,3464944
