Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,368.04998779296875,372.5,363.0,367.04998779296875,315.750244140625,23554
2015-01-02,368.75,380.95001220703125,365.04998779296875,380.1000061035156,326.9764099121094,97644
2015-01-05,381.0,383.0,372.0,374.6499938964844,322.2880859375,58534
2015-01-06,372.04998779296875,373.0,363.3500061035156,364.8500061035156,313.85772705078125,139481
2015-01-07,367.1000061035156,367.1000061035156,354.6000061035156,356.1499938964844,306.37371826171875,32871
2015-01-08,355.1000061035156,365.0,355.1000061035156,359.5,309.2554626464844,17892
2015-01-09,361.0,363.0,356.5,359.8500061035156,309.5565490722656,131139
2015-01-12,360.0,369.5,358.70001220703125,365.3999938964844,314.33087158203125,67151
2015-01-13,369.70001220703125,374.70001220703125,367.0,370.1000061035156,318.37396240234375,40219
2015-01-14,371.0,389.1000061035156,366.70001220703125,382.79998779296875,329.29901123046875,755089
2015-01-15,380.8999938964844,382.0,369.6499938964844,373.8500061035156,321.59979248046875,357187
2015-01-16,372.0,373.95001220703125,368.0,370.1499938964844,318.41693115234375,33806
2015-01-19,373.0,377.0,371.20001220703125,373.79998779296875,321.5568542480469,53799
2015-01-20,371.0,375.1000061035156,371.0,374.20001220703125,321.90106201171875,229932
2015-01-21,373.0,375.75,367.8500061035156,372.25,320.2234802246094,137344
2015-01-22,373.6000061035156,374.04998779296875,369.3500061035156,371.3500061035156,319.4492492675781,118489
2015-01-23,375.0,375.0,356.8999938964844,365.3999938964844,314.33087158203125,79506
2015-01-27,360.1000061035156,364.95001220703125,357.1000061035156,358.54998779296875,308.4382629394531,174565
2015-01-28,358.95001220703125,358.95001220703125,343.5,346.6499938964844,298.20135498046875,193296
2015-01-29,345.0,351.20001220703125,344.45001220703125,345.8999938964844,297.55615234375,94130
2015-01-30,347.0,351.1499938964844,346.8500061035156,350.29998779296875,301.3412170410156,53046
2015-02-02,341.25,354.0,341.25,351.3999938964844,302.2875671386719,44137
2015-02-03,350.1499938964844,354.95001220703125,349.0,350.0,301.08319091796875,30942
2015-02-04,352.45001220703125,355.3500061035156,346.0,347.75,299.1477355957031,40330
2015-02-05,350.04998779296875,353.6000061035156,348.29998779296875,350.5,301.5133361816406,162750
2015-02-06,348.75,350.8500061035156,341.0,344.29998779296875,296.17987060546875,44211
2015-02-09,349.8500061035156,364.0,341.0,361.25,310.7608947753906,71186
2015-02-10,358.29998779296875,381.0,356.0,377.8999938964844,325.08380126953125,90562
2015-02-11,375.6499938964844,380.0,367.20001220703125,370.79998779296875,318.9761047363281,36165
2015-02-12,370.5,374.95001220703125,352.54998779296875,369.6000061035156,317.94390869140625,13911
2015-02-13,361.1000061035156,379.95001220703125,361.1000061035156,371.29998779296875,319.4062805175781,15423
2015-02-16,364.0,375.1499938964844,360.5,369.45001220703125,317.8147888183594,17892
2015-02-18,369.45001220703125,375.8999938964844,367.0,372.25,320.2234802246094,16660
2015-02-19,371.70001220703125,384.04998779296875,371.70001220703125,380.04998779296875,326.9333190917969,68000
2015-02-20,381.5,394.0,373.0,389.45001220703125,335.01959228515625,76528
2015-02-23,390.0,414.70001220703125,388.0,395.0,339.7939147949219,248442
2015-02-24,395.0,406.54998779296875,391.1000061035156,392.6000061035156,337.72930908203125,45894
2015-02-25,394.8999938964844,420.6000061035156,394.8999938964844,410.0,352.6974182128906,435612
2015-02-26,409.0,423.8999938964844,409.0,418.54998779296875,360.05255126953125,209947
2015-02-27,419.25,421.79998779296875,405.5,407.54998779296875,350.5898132324219,62112
2015-03-02,407.0,407.0,395.1000061035156,402.79998779296875,346.5038146972656,27347
2015-03-03,404.0,412.0,399.0,409.8500061035156,352.56842041015625,58684
2015-03-04,410.95001220703125,418.0,403.3999938964844,408.3500061035156,351.27801513671875,63178
2015-03-05,408.5,422.79998779296875,403.04998779296875,418.45001220703125,359.9665222167969,70315
2015-03-09,417.25,425.0,414.04998779296875,417.70001220703125,359.3213195800781,41886
2015-03-10,415.0,417.70001220703125,402.0,409.3999938964844,352.18133544921875,27425
2015-03-11,412.0,439.79998779296875,412.0,428.5,368.6118469238281,584953
2015-03-12,432.79998779296875,432.79998779296875,418.1000061035156,424.1499938964844,364.8698425292969,52058
2015-03-13,424.1499938964844,435.45001220703125,421.0,424.75,365.3859558105469,77250
2015-03-16,425.0,426.8500061035156,403.04998779296875,407.20001220703125,350.288818359375,43079
2015-03-17,408.95001220703125,412.1499938964844,401.6000061035156,403.04998779296875,346.7188415527344,45410
2015-03-18,403.0,406.70001220703125,396.5,398.95001220703125,343.1918640136719,17943
2015-03-19,395.04998779296875,405.0,383.04998779296875,388.20001220703125,333.9443359375,50552
2015-03-20,389.54998779296875,393.8500061035156,369.0,375.04998779296875,322.6321716308594,49786
2015-03-23,375.0,379.0,368.0,374.3999938964844,322.072998046875,27525
2015-03-24,351.0,360.0,341.0,352.1000061035156,302.88970947265625,264438
2015-03-25,352.79998779296875,360.0,336.6000061035156,338.75,291.405517578125,76726
2015-03-26,342.0,347.8999938964844,334.0,343.8500061035156,295.792724609375,78941
2015-03-27,347.0,357.0,343.25,347.25,298.7175598144531,80277
2015-03-30,352.25,354.8999938964844,343.79998779296875,349.3999938964844,300.5670471191406,52991
2015-03-31,350.8500061035156,351.3500061035156,347.0,349.29998779296875,300.4810791015625,123852
2015-04-01,351.0,371.0,348.95001220703125,366.20001220703125,315.0190124511719,147880
2015-04-06,367.95001220703125,369.3999938964844,359.1000061035156,365.1000061035156,314.07275390625,33625
2015-04-07,365.8999938964844,368.6000061035156,365.1000061035156,367.29998779296875,315.96533203125,15011
2015-04-08,371.0,374.79998779296875,367.8500061035156,371.1499938964844,319.2772216796875,25239
2015-04-09,374.95001220703125,378.0,365.70001220703125,369.45001220703125,317.8147888183594,55276
2015-04-10,368.0,374.0,368.0,371.70001220703125,319.7503967285156,34106
2015-04-13,373.0,379.0,370.04998779296875,372.6000061035156,320.52459716796875,17827
2015-04-15,376.3500061035156,389.0,371.1000061035156,374.75,322.3741149902344,157018
2015-04-16,382.79998779296875,382.79998779296875,365.75,379.04998779296875,326.0731201171875,77677
2015-04-17,381.70001220703125,385.0,370.0,373.29998779296875,321.1268005371094,30947
2015-04-20,368.1499938964844,378.8500061035156,367.0,370.8999938964844,319.0621337890625,27400
2015-04-21,361.1499938964844,374.75,361.1499938964844,369.04998779296875,317.47076416015625,31158
2015-04-22,368.04998779296875,375.5,368.0,370.8999938964844,319.0621337890625,116621
2015-04-23,370.0,374.95001220703125,368.04998779296875,369.79998779296875,318.1158447265625,10745
2015-04-24,370.45001220703125,372.8999938964844,362.5,364.79998779296875,313.8147277832031,63490
2015-04-27,360.0,370.0,353.6000061035156,366.75,315.4921569824219,60823
2015-04-28,365.25,365.25,353.1000061035156,361.8999938964844,311.3200378417969,54329
2015-04-29,358.04998779296875,380.0,350.75,359.0,308.82537841796875,88864
2015-04-30,366.70001220703125,366.70001220703125,348.0,350.8500061035156,301.8144226074219,152890
2015-05-04,360.0,360.0,351.6000061035156,356.5,306.6746826171875,205277
2015-05-05,355.95001220703125,427.0,325.54998779296875,402.0,345.8155517578125,1286712
2015-05-06,380.1000061035156,394.8999938964844,375.0,383.1000061035156,329.55712890625,360097
2015-05-07,380.0,388.3999938964844,365.0,369.1000061035156,317.5137634277344,69616
2015-05-08,371.0,377.0,368.95001220703125,373.70001220703125,321.4708557128906,51997
2015-05-11,373.70001220703125,383.0,370.25,372.45001220703125,320.39556884765625,43212
2015-05-12,372.8500061035156,375.8500061035156,368.20001220703125,371.95001220703125,319.9654235839844,28941
2015-05-13,372.1000061035156,374.75,370.0,370.3500061035156,318.58905029296875,31350
2015-05-14,372.8999938964844,373.75,367.0,372.8999938964844,320.7826232910156,37062
2015-05-15,373.04998779296875,373.04998779296875,368.8500061035156,370.79998779296875,318.9761047363281,11293
2015-05-18,371.1000061035156,383.0,370.3500061035156,381.25,327.9656066894531,56159
2015-05-19,384.0,393.0,381.6000061035156,387.75,333.5572204589844,69331
2015-05-20,387.75,391.75,378.0,386.0,332.0517883300781,18135
2015-05-21,387.0,391.0,384.04998779296875,387.45001220703125,333.29913330078125,12412
2015-05-22,386.95001220703125,390.0,383.25,386.3999938964844,332.39581298828125,15410
2015-05-25,380.29998779296875,387.45001220703125,377.1000061035156,377.8500061035156,325.040771484375,6223
2015-05-26,376.0,379.45001220703125,373.0,373.1499938964844,320.9976806640625,6995
2015-05-27,373.0,385.0,372.95001220703125,382.6000061035156,329.126953125,23619
2015-05-28,379.54998779296875,383.95001220703125,378.0,379.75,326.6752624511719,12266
2015-05-29,378.04998779296875,385.8999938964844,377.0,381.8500061035156,328.4817199707031,61194
2015-06-01,380.54998779296875,387.8999938964844,377.54998779296875,385.3500061035156,331.4925842285156,9603
2015-06-02,383.75,385.0,379.45001220703125,383.1499938964844,329.6001281738281,18206
2015-06-03,384.0,405.0,380.1499938964844,398.79998779296875,343.062744140625,76148
2015-06-04,399.0,410.0,397.0,400.20001220703125,344.26715087890625,78853
2015-06-05,398.0,399.5,391.0,396.0,340.6541748046875,10814
2015-06-08,394.0,394.5,384.0,387.79998779296875,333.6001281738281,10117
2015-06-09,384.5,386.6000061035156,375.0,385.25,331.4065856933594,6476
2015-06-10,382.0,387.0,376.0,382.0,328.6108093261719,35995
2015-06-11,381.04998779296875,394.1000061035156,381.04998779296875,384.95001220703125,331.1485290527344,13992
2015-06-12,386.8999938964844,386.8999938964844,381.3999938964844,383.1499938964844,329.6001281738281,4545
2015-06-15,380.29998779296875,385.0,380.1499938964844,383.29998779296875,329.72906494140625,2792
2015-06-16,385.45001220703125,386.04998779296875,380.54998779296875,381.79998779296875,328.4386901855469,8744
2015-06-17,383.0,385.0,380.25,383.79998779296875,330.1592102050781,4307
2015-06-18,382.45001220703125,388.95001220703125,382.1499938964844,386.54998779296875,332.5248718261719,6272
2015-06-19,386.0,405.70001220703125,386.0,399.29998779296875,343.4928894042969,51462
2015-06-22,403.8999938964844,406.70001220703125,395.0,403.54998779296875,347.1488952636719,29394
2015-06-23,403.1000061035156,409.0,399.04998779296875,403.04998779296875,346.7188415527344,372431
2015-06-24,403.04998779296875,404.95001220703125,400.0,401.5,345.38543701171875,18240
2015-06-25,399.0,400.45001220703125,386.54998779296875,391.8500061035156,337.08416748046875,10039
2015-06-26,390.1000061035156,398.0,388.0,392.8999938964844,337.9873962402344,19291
2015-06-29,388.04998779296875,392.1000061035156,385.6000061035156,388.20001220703125,333.9443359375,13644
2015-06-30,390.0,392.70001220703125,388.6000061035156,390.04998779296875,335.53564453125,41882
2015-07-01,386.79998779296875,391.0,386.04998779296875,388.0,333.772216796875,118360
2015-07-02,388.04998779296875,391.0,387.04998779296875,388.70001220703125,334.3743896484375,14184
2015-07-03,389.95001220703125,394.29998779296875,389.95001220703125,392.04998779296875,337.2562255859375,27114
2015-07-06,384.0,397.1000061035156,384.0,393.54998779296875,338.5465393066406,14141
2015-07-07,392.04998779296875,398.0,388.04998779296875,388.75,334.4174499511719,12250
2015-07-08,385.0,389.8500061035156,378.75,383.04998779296875,329.51409912109375,23189
2015-07-09,383.0,394.0,382.0,384.6499938964844,330.8904113769531,18823
2015-07-10,388.0,392.75,385.54998779296875,388.95001220703125,334.5894470214844,13848
2015-07-13,388.29998779296875,424.25,388.29998779296875,418.6000061035156,360.09552001953125,122454
2015-07-14,418.6499938964844,485.0,415.54998779296875,463.45001220703125,398.67718505859375,2091835
2015-07-15,467.0,479.0,455.54998779296875,459.6499938964844,395.4083251953125,580028
2015-07-16,460.95001220703125,499.0,456.0,486.6000061035156,418.5916442871094,824955
2015-07-17,488.0,490.3999938964844,470.0,475.8500061035156,409.3441162109375,321074
2015-07-20,476.0,489.0,470.6000061035156,481.04998779296875,413.8173828125,239264
